rmsk_index	bin	swScore	milliDiv	milliDel	milliIns	genoName	genoStart	genoEnd	genoLeft	strand	repName	repClass	repFamily	repStart	repEnd	repLeft	id
2244380	1234	1410	90	17	0	chr18	85119661	85119838	-5582801	-	B2_Mm2	SINE	B2	-14	181	2	1
915123	762	1524	77	0	5	chr12	23211381	23211576	-96917446	-	B2_Mm2	SINE	B2	-1	194	1	8
3353010	796	1251	99	6	0	chr5	27675775	27675947	-124158737	-	B2_Mm2	SINE	B2	-22	173	1	2
2559423	1377	320	89	356	20	chr2	103878113	103878214	-78235010	-	B2_Mm2	SINE	B2	-14	181	47	2
3295255	1725	806	128	69	22	chr4	149449394	149449574	-7058542	-	B2_Mm2	SINE	B2	-14	202	1	2
3078769	922	1292	64	14	117	chr4	44288319	44288358	-112219758	+	B2_Mm2	SINE	B2	1	39	-156	2
1800168	860	983	103	117	28	chr16	36101228	36101407	-62106361	+	B2_Mm2	SINE	B2	1	195	0	1
2883571	1310	504	240	84	58	chr3	95090429	95090590	-64949090	-	B2_Mm2	SINE	B2	-24	171	1	2
705554	980	322	120	8	34	chr11	51885414	51885480	-70197063	-	B2_Mm2	SINE	B2	-102	114	47	6
1032145	1230	1236	91	31	26	chr12	84629240	84629270	-35499752	+	B2_Mm2	SINE	B2	159	194	-1	9
3609657	1717	266	273	18	0	chr5	148456787	148456842	-3377842	+	B2_Mm2	SINE	B2	2	57	-138	3
3843575	1509	435	87	319	88	chr6	121213508	121213621	-28522925	-	B2_Mm2	SINE	B2	-10	185	47	3
477519	1066	261	251	75	101	chr10	63081968	63081996	-67612997	+	B2_Mm2	SINE	B2	2	181	-14	4
2536989	1285	1361	102	21	0	chr2	91770453	91770640	-90342584	-	B2_Mm2	SINE	B2	-3	192	2	2
55984	851	1339	72	61	0	chr1	34870580	34870760	-160601211	-	B2_Mm2	SINE	B2	-3	192	2	4
4103007	1399	549	248	20	33	chr7	106724883	106725033	-38716426	-	B2_Mm2	SINE	B2	-45	150	3	3
1697800	1265	611	56	10	82	chr15	89251802	89251899	-14791786	+	B2_Mm2	SINE	B2	2	91	-104	1
797331	1268	1140	137	23	0	chr11	89575622	89575797	-32506746	-	B2_Mm2	SINE	B2	-16	179	1	7
1760641	717	1332	89	15	45	chr16	17320536	17320714	-80887054	+	B2_Mm2	SINE	B2	1	179	-16	1
1371697	844	1226	109	0	30	chr14	34064355	34064401	-90837843	+	B2_Mm2	SINE	B2	153	192	-3	1
2549354	1335	1108	143	0	0	chr2	98421498	98421666	-83691558	+	B2_Mm2	SINE	B2	2	169	-26	2
2863591	1241	355	124	164	18	chr3	86066254	86066367	-73973313	+	B2_Mm2	SINE	B2	47	192	-1	2
1340544	723	1339	77	11	23	chr14	18170123	18170140	-106732104	+	B2_Mm2	SINE	B2	161	176	-19	1
1658978	1122	306	233	43	16	chr15	70464782	70464867	-33578818	-	B2_Mm2	SINE	B2	-108	108	27	1
4414212	1518	446	65	324	36	chr8	122365811	122365922	-7035291	+	B2_Mm2	SINE	B2	47	189	-6	3
2199512	1053	451	69	371	28	chr18	61371760	61371865	-29330774	-	B2_Mm2	SINE	B2	-8	187	47	1
706015	981	1276	69	16	16	chr11	52013937	52013958	-70068585	+	B2_Mm2	SINE	B2	173	192	-3	6
2382487	648	242	348	11	0	chr2	8331134	8331223	-173782001	+	B2_Mm2	SINE	B2	2	91	-104	2
4487703	865	704	208	77	50	chr9	36722409	36722591	-87872519	+	B2_Mm2	SINE	B2	2	188	-7	3
726899	1047	594	140	10	0	chr11	60630627	60630727	-61451816	+	B2_Mm2	SINE	B2	10	110	-85	6
1918794	641	948	171	44	11	chr17	7455669	7455852	-87531419	-	B2_Mm2	SINE	B2	0	195	7	1
1994517	937	1168	99	54	16	chr17	46170274	46170458	-48816813	-	B2_Mm2	SINE	B2	-3	192	2	1
1847404	1064	919	74	255	33	chr16	62869668	62869821	-35337947	-	B2_Mm2	SINE	B2	-6	189	3	1
1213315	1063	279	152	176	51	chr13	62761816	62761930	-57659709	-	B2_Mm2	SINE	B2	-2	193	47	1
2659863	1765	360	85	0	0	chr2	154705849	154705896	-27407328	+	B2_Mm2	SINE	B2	48	94	-101	2
744365	1110	405	48	311	10	chr11	68841634	68841733	-53240810	+	B2_Mm2	SINE	B2	46	179	-16	6
1066922	1367	902	98	266	0	chr12	102626131	102626274	-17502748	-	B2_Mm2	SINE	B2	-14	181	1	9
1213502	1064	1327	89	39	11	chr13	62845880	62846062	-57575577	-	B2_Mm2	SINE	B2	-8	187	1	1
1004274	1137	393	241	79	105	chr12	72445555	72445587	-47683435	-	B2_Mm2	SINE	B2	-10	185	159	8
2306480	810	363	95	0	64	chr19	29617020	29617089	-31814477	+	B2_Mm2	SINE	B2	47	109	-107	2
1817	617	1347	66	49	0	chr1	4200994	4201177	-191270794	+	B2_Mm2	SINE	B2	1	192	-3	1
468234	1040	1140	92	6	0	chr10	59698002	59698019	-70996974	+	B2_Mm2	SINE	B2	158	174	-21	4
3739095	1122	581	226	97	70	chr6	70507730	70507916	-79228630	+	B2_Mm2	SINE	B2	3	193	-2	3
2953906	1582	1371	85	21	0	chr3	130791568	130791757	-29247923	-	B2_Mm2	SINE	B2	-2	193	1	2
1408860	1001	870	75	231	0	chr14	54654948	54655095	-70247149	+	B2_Mm2	SINE	B2	1	181	-14	1
4840925	1302	1197	65	94	12	chrX	94039301	94039472	-76991827	+	B2_Mm2	SINE	B2	2	186	-9	4
3568204	1607	849	206	31	26	chr5	134074698	134074725	-17759959	-	B2_Mm2	SINE	B2	0	195	165	3
3213615	1477	1355	95	26	0	chr4	117015903	117016093	-39492023	-	B2_Mm2	SINE	B2	0	195	1	2
3298571	1734	1468	75	16	0	chr4	150632255	150632442	-5875674	-	B2_Mm2	SINE	B2	-1	194	5	2
3817578	1417	1021	123	0	0	chr6	109107964	109108110	-40628436	-	B2_Mm2	SINE	B2	-47	148	3	3
491071	1114	1344	92	0	26	chr10	69434858	69435048	-61259945	+	B2_Mm2	SINE	B2	2	186	-9	4
4896271	1517	1419	93	0	0	chrX	122270766	122270960	-48760339	+	B2_Mm2	SINE	B2	2	195	0	4
999744	1120	264	122	0	0	chr12	70142210	70142251	-49986771	-	B2_Mm2	SINE	B2	-154	41	1	8
4630271	1379	286	184	0	0	chr9	104108648	104108697	-20486413	+	B2_Mm2	SINE	B2	2	50	-145	4
2369526	1049	826	188	12	35	chr19	60894453	60894624	-536942	-	B2_Mm2	SINE	B2	-24	171	5	2
2190978	1018	497	163	21	11	chr18	56764745	56764838	-33937801	-	B2_Mm2	SINE	B2	-100	95	2	1
1947714	773	924	180	70	0	chr17	24708575	24708747	-70278524	+	B2_Mm2	SINE	B2	2	185	-10	1
3626754	639	794	238	31	11	chr6	7147175	7147366	-142589180	-	B2_Mm2	SINE	B2	0	195	1	3
3926967	713	789	179	66	44	chr7	16805035	16805216	-128636243	+	B2_Mm2	SINE	B2	2	186	-9	3
3259388	1609	1202	77	49	6	chr4	134332136	134332164	-22175952	-	B2_Mm2	SINE	B2	-2	193	159	2
2638239	1685	372	129	57	5	chr2	144286990	144287131	-37826093	+	B2_Mm2	SINE	B2	2	194	-1	2
154014	1249	335	214	54	198	chr1	87111154	87111186	-108360785	-	B2_Mm2	SINE	B2	-5	190	165	1
787254	1241	582	76	98	0	chr11	85983893	85983985	-36098558	+	B2_Mm2	SINE	B2	1	101	-94	6
4857937	1360	828	80	0	0	chrX	101674566	101674679	-69356620	-	B2_Mm2	SINE	B2	-80	115	3	4
3245540	1574	770	212	83	6	chr4	129658305	129658485	-26849631	+	B2_Mm2	SINE	B2	1	194	-1	2
3742717	1133	757	189	68	12	chr6	71862608	71862769	-77873777	+	B2_Mm2	SINE	B2	1	170	-25	3
3979674	902	424	177	73	55	chr7	41613662	41613770	-103827689	+	B2_Mm2	SINE	B2	2	109	-107	3
1792139	834	1243	68	16	64	chr16	32692027	32692215	-65515553	+	B2_Mm2	SINE	B2	2	180	-15	1
108471	1066	406	57	0	0	chr1	63148617	63148670	-132323301	+	B2_Mm2	SINE	B2	2	54	-141	9
2886789	1318	1101	77	6	0	chr3	96076764	96076920	-63962760	-	B2_Mm2	SINE	B2	-37	158	2	2
3360194	823	243	304	87	87	chr5	31275211	31275234	-120559450	+	B2_Mm2	SINE	B2	40	187	-8	2
841656	1402	1097	49	157	12	chr11	107197354	107197520	-14885023	-	B2_Mm2	SINE	B2	-4	191	2	7
143308	1209	1300	111	16	0	chr1	81839240	81839429	-113632542	+	B2_Mm2	SINE	B2	2	193	-2	1
866280	1482	411	259	111	53	chr11	117649403	117649430	-4433113	+	B2_Mm2	SINE	B2	152	181	-14	7
3308765	1775	433	123	0	0	chr4	155980588	155980653	-527463	-	B2_Mm2	SINE	B2	-129	66	2	2
257132	1644	782	104	0	0	chr1	138886171	138886286	-56585685	-	B2_Mm2	SINE	B2	-78	117	3	2
2882989	1309	1388	72	16	16	chr3	94923053	94923238	-65116442	-	B2_Mm2	SINE	B2	-9	186	2	2
2439196	869	423	266	91	34	chr2	37314365	37314386	-144798838	-	B2_Mm2	SINE	B2	-6	189	169	2
2010581	991	582	153	118	24	chr17	53345103	53345230	-41642041	+	B2_Mm2	SINE	B2	49	187	-8	1
2771526	846	255	175	140	140	chr3	34261633	34261662	-125778018	+	B2_Mm2	SINE	B2	163	188	-7	2
2102923	664	1417	53	37	5	chr18	10382162	10382350	-80320289	+	B2_Mm2	SINE	B2	1	194	-1	1
144900	1216	1323	82	37	21	chr1	82791638	82791825	-112680146	-	B2_Mm2	SINE	B2	-4	191	2	1
101594	1040	1093	66	79	0	chr1	59681942	59682094	-135789877	-	B2_Mm2	SINE	B2	-31	164	1	8
3932227	733	1051	89	0	76	chr7	19500000	19500038	-125941421	-	B2_Mm2	SINE	B2	-37	158	133	3
1999480	950	487	245	90	7	chr17	47848078	47848098	-47139173	-	B2_Mm2	SINE	B2	0	195	176	1
4420131	1538	338	247	51	166	chr8	124963192	124963235	-4437978	+	B2_Mm2	SINE	B2	161	192	-3	3
3080837	929	233	261	123	0	chr4	45168458	45168523	-111339593	-	B2_Mm2	SINE	B2	-120	75	3	2
726869	1047	659	195	55	44	chr11	60623900	60624082	-61458461	-	B2_Mm2	SINE	B2	-9	186	3	6
4713053	741	1182	100	66	11	chrX	20566717	20566753	-150464546	-	B2_Mm2	SINE	B2	-2	193	157	4
306822	1845	1189	98	0	6	chr1	165276776	165276950	-30195021	+	B2_Mm2	SINE	B2	1	173	-22	2
3495955	1389	1150	91	0	109	chr5	105446680	105446891	-46387793	-	B2_Mm2	SINE	B2	-6	189	2	3
2140279	825	446	65	336	92	chr18	31535652	31535771	-59166868	+	B2_Mm2	SINE	B2	48	195	0	1
1070922	1384	493	47	31	0	chr12	104755097	104755161	-15373861	+	B2_Mm2	SINE	B2	3	68	-127	9
3905744	624	1037	162	38	0	chr7	5219416	5219601	-140221858	-	B2_Mm2	SINE	B2	-3	192	1	3
1556796	678	1389	83	0	6	chr15	12314266	12314447	-91729238	-	B2_Mm2	SINE	B2	-14	181	2	1
3369114	855	339	249	117	83	chr5	35435867	35435904	-116398780	-	B2_Mm2	SINE	B2	-9	186	149	2
775254	1201	379	74	14	18	chr11	80765669	80765735	-41316808	+	B2_Mm2	SINE	B2	46	116	-82	6
4175550	1661	1233	104	10	58	chr7	141148375	141148409	-4293050	-	B2_Mm2	SINE	B2	0	195	170	3
1984017	899	1132	151	5	5	chr17	41236298	41236491	-53750780	-	B2_Mm2	SINE	B2	0	195	3	1
758920	1157	438	81	316	26	chr11	75024054	75024168	-47058375	-	B2_Mm2	SINE	B2	-2	193	47	6
4488137	865	238	220	85	0	chr9	36831157	36831216	-87763894	-	B2_Mm2	SINE	B2	-127	68	5	3
875885	610	286	116	371	31	chr12	3363783	3363880	-116765142	+	B2_Mm2	SINE	B2	47	176	-19	7
771183	1190	1345	96	6	28	chr11	79351005	79351187	-42731356	-	B2_Mm2	SINE	B2	-16	179	2	6
1102560	621	1166	108	37	11	chr13	4746859	4747046	-115674593	-	B2_Mm2	SINE	B2	-3	192	1	9
2964440	1627	1227	67	5	58	chr3	136631473	136631663	-23408017	-	B2_Mm2	SINE	B2	-14	181	2	2
2382814	649	292	287	136	25	chr2	8508460	8508578	-173604646	-	B2_Mm2	SINE	B2	-63	132	2	2
746846	1116	1112	120	0	115	chr11	69698404	69698465	-52384078	-	B2_Mm2	SINE	B2	-2	193	154	6
2230287	1173	887	62	282	34	chr18	77078648	77078797	-13623842	-	B2_Mm2	SINE	B2	-9	186	1	1
4862199	1374	353	231	0	62	chrX	103418725	103418822	-67612477	-	B2_Mm2	SINE	B2	-103	92	2	4
2322015	870	248	18	47	125	chr19	37432425	37432479	-23999087	+	B2_Mm2	SINE	B2	137	186	-9	2
3979629	902	1204	120	32	32	chr7	41593669	41593858	-103847601	-	B2_Mm2	SINE	B2	-5	190	2	3
2927530	1475	319	127	13	34	chr3	116747946	116748013	-43291667	+	B2_Mm2	SINE	B2	46	116	-82	2
4355066	1311	763	124	9	0	chr8	95206707	95206820	-34194393	-	B2_Mm2	SINE	B2	-33	162	49	3
4409254	1499	1141	132	26	0	chr8	119886611	119886638	-9514575	-	B2_Mm2	SINE	B2	-1	194	163	3
1595389	848	878	145	60	16	chr15	34496526	34496708	-69546977	-	B2_Mm2	SINE	B2	-3	192	3	1
1641489	1044	858	198	26	42	chr15	60208185	60208375	-43835310	-	B2_Mm2	SINE	B2	-8	187	1	1
1198509	1005	688	159	186	0	chr13	55176729	55176874	-65244765	-	B2_Mm2	SINE	B2	-14	181	10	1
1394776	948	262	121	0	17	chr14	47585483	47585542	-77316702	+	B2_Mm2	SINE	B2	132	189	-6	1
3756504	1183	994	188	15	30	chr6	78484484	78484681	-71251865	+	B2_Mm2	SINE	B2	1	194	-1	3
3766657	1219	351	118	28	12	chr6	83228986	83229093	-66507453	+	B2_Mm2	SINE	B2	47	191	-4	3
4341078	1258	284	232	154	61	chr8	88224508	88224686	-41176527	-	B2_Mm2	SINE	B2	0	216	26	3
1538013	1528	226	300	0	0	chr14	123623903	123623953	-1278291	+	B2_Mm2	SINE	B2	1	50	-145	1
2563587	1390	1123	110	57	52	chr2	105567388	105567557	-76545667	-	B2_Mm2	SINE	B2	-32	163	3	2
4533734	1031	912	134	69	11	chr9	58531116	58531290	-66063820	-	B2_Mm2	SINE	B2	0	195	12	4
4832199	1266	251	125	0	0	chrX	89320179	89320219	-81711080	+	B2_Mm2	SINE	B2	2	41	-154	4
4793372	1098	332	52	0	17	chrX	67320040	67320099	-103711200	+	B2_Mm2	SINE	B2	137	194	-1	4
1674810	1188	822	64	0	0	chr15	79072555	79072664	-24971021	-	B2_Mm2	SINE	B2	-86	109	1	1
1209400	1047	1075	89	43	101	chr13	60575421	60575575	-59846064	-	B2_Mm2	SINE	B2	-33	162	1	1
4387969	1431	447	73	364	30	chr8	110904917	110905016	-18496197	+	B2_Mm2	SINE	B2	48	179	-16	3
3925195	708	1071	79	164	6	chr7	16251528	16251693	-129189766	+	B2_Mm2	SINE	B2	2	192	-3	3
4109032	1424	746	197	82	27	chr7	109977816	109977999	-35463460	+	B2_Mm2	SINE	B2	1	193	-2	3
2148242	851	313	242	6	17	chr18	34918538	34918618	-55784021	-	B2_Mm2	SINE	B2	-140	76	1	1
3294086	1722	1595	51	0	5	chr4	149082834	149083030	-7425086	+	B2_Mm2	SINE	B2	1	195	0	2
2588700	1497	537	173	0	9	chr2	119579271	119579376	-62533848	-	B2_Mm2	SINE	B2	0	195	92	2
4165003	1612	1358	93	5	20	chr7	134657811	134658009	-10783450	+	B2_Mm2	SINE	B2	1	195	0	3
2462728	973	1062	116	76	22	chr2	50963071	50963256	-131149968	+	B2_Mm2	SINE	B2	1	195	0	2
3516940	1462	242	195	0	0	chr5	115057605	115057646	-36777038	+	B2_Mm2	SINE	B2	2	42	-153	3
3338161	737	1259	89	61	0	chr5	19945810	19945990	-131888694	+	B2_Mm2	SINE	B2	1	191	-4	2
3605670	1705	236	65	0	0	chr5	146885384	146885415	-4949269	+	B2_Mm2	SINE	B2	47	77	-118	3
368103	617	1378	87	16	5	chr10	4222359	4222545	-126472448	-	B2_Mm2	SINE	B2	-6	189	2	3
1808552	892	1141	111	10	31	chr16	40247864	40248017	-57959751	+	B2_Mm2	SINE	B2	5	158	-37	1
3312446	613	831	202	36	21	chr5	3792901	3793093	-148041591	+	B2_Mm2	SINE	B2	1	195	0	2
814629	1327	255	91	54	18	chr11	97260720	97260776	-24821767	-	B2_Mm2	SINE	B2	-1	194	137	7
3581961	1637	338	115	0	0	chr5	138015338	138015390	-13819294	+	B2_Mm2	SINE	B2	47	98	-97	3
1960042	810	829	116	106	44	chr17	29583306	29583438	-65403833	-	B2_Mm2	SINE	B2	-51	144	4	1
754677	1141	216	333	102	42	chr11	72916652	72916690	-49165853	-	B2_Mm2	SINE	B2	-18	177	2	6
4221070	778	695	147	0	0	chr8	25319349	25319451	-104081762	-	B2_Mm2	SINE	B2	-90	105	4	3
5030808	766	565	274	20	0	chrY	23853924	23854083	-67890615	-	B2_Mm2	SINE	B2	-24	174	2	4
3356257	810	1223	112	6	0	chr5	29577910	29578080	-122256604	-	B2_Mm2	SINE	B2	-23	172	2	2
1562714	704	1107	108	96	0	chr15	15625641	15625808	-88417877	-	B2_Mm2	SINE	B2	-10	185	3	1
3078691	922	264	133	0	22	chr4	44272240	44272286	-112235830	-	B2_Mm2	SINE	B2	-104	91	47	2
1986996	912	402	178	255	93	chr17	42872477	42872638	-52114633	+	B2_Mm2	SINE	B2	2	188	-7	1
71890	911	505	208	57	108	chr1	42738152	42738172	-152733799	+	B2_Mm2	SINE	B2	170	184	-11	6
3956425	816	1276	84	15	40	chr7	30337432	30337629	-115103830	-	B2_Mm2	SINE	B2	-1	194	2	3
3768580	1225	1313	83	44	0	chr6	83963711	83963892	-65772654	-	B2_Mm2	SINE	B2	-5	190	2	3
1085586	1436	1269	119	0	0	chr12	111658402	111658578	-8470444	-	B2_Mm2	SINE	B2	-19	176	1	9
1676330	1192	262	79	0	26	chr15	79655375	79655414	-24388271	+	B2_Mm2	SINE	B2	4	41	-154	1
1975722	861	1372	45	57	6	chr17	36243233	36243410	-58743861	+	B2_Mm2	SINE	B2	1	186	-9	1
1347988	750	1492	64	16	0	chr14	21651039	21651227	-103251017	+	B2_Mm2	SINE	B2	1	191	-4	1
2841362	1144	260	314	45	113	chr3	73361639	73361772	-86677908	+	B2_Mm2	SINE	B2	1	124	-71	2
2536951	1285	1338	54	13	186	chr2	91760987	91761172	-90352052	+	B2_Mm2	SINE	B2	41	188	-7	2
3692625	920	994	158	0	0	chr6	43917294	43917452	-105819094	-	B2_Mm2	SINE	B2	-37	158	1	3
3515589	1458	822	141	104	0	chr5	114522401	114522564	-37312120	-	B2_Mm2	SINE	B2	-1	194	15	3
476531	1064	919	110	158	19	chr10	62818493	62818651	-67876342	+	B2_Mm2	SINE	B2	2	181	-14	4
2238837	1210	885	93	107	0	chr18	82026103	82026243	-8676396	-	B2_Mm2	SINE	B2	-40	155	1	1
3577817	1628	241	222	0	0	chr5	136722708	136722751	-15111933	-	B2_Mm2	SINE	B2	-151	44	2	3
3765101	1215	602	223	114	51	chr6	82702187	82702225	-67034321	+	B2_Mm2	SINE	B2	137	187	-8	3
32287	749	524	220	52	83	chr1	21613885	21613907	-173858064	+	B2_Mm2	SINE	B2	163	186	-9	2
1682312	1208	1373	86	27	0	chr15	81784288	81784311	-22259374	+	B2_Mm2	SINE	B2	163	190	-5	1
3264078	1622	272	271	39	91	chr4	135963052	135963206	-20544910	-	B2_Mm2	SINE	B2	-14	181	36	2
380853	670	1002	150	6	11	chr10	11196803	11196978	-119498015	-	B2_Mm2	SINE	B2	-7	188	15	3
3473408	1294	385	83	475	30	chr5	93025619	93025718	-58808966	-	B2_Mm2	SINE	B2	-5	190	48	3
3985888	925	258	163	20	0	chr7	44566766	44566815	-100874644	-	B2_Mm2	SINE	B2	-144	51	2	3
572100	1429	774	186	53	53	chr10	110716388	110716575	-19978418	+	B2_Mm2	SINE	B2	4	190	-5	5
353816	2027	363	157	321	36	chr1	189009270	189009382	-6462589	+	B2_Mm2	SINE	B2	47	190	-5	3
617306	619	1160	136	23	0	chr11	4496090	4496267	-117586276	-	B2_Mm2	SINE	B2	0	195	15	5
53641	842	1331	81	40	0	chr1	33718547	33718721	-161753250	-	B2_Mm2	SINE	B2	-14	181	1	4
3494613	1383	612	128	83	0	chr5	104651019	104651122	-47183562	-	B2_Mm2	SINE	B2	-10	185	74	3
4283574	1036	1106	117	22	6	chr8	59183242	59183423	-70217790	+	B2_Mm2	SINE	B2	1	184	-11	3
4551248	1084	1485	63	21	0	chr9	65455684	65455873	-59139237	+	B2_Mm2	SINE	B2	3	195	0	4
830235	1370	1211	66	60	0	chr11	102926009	102926176	-19156367	-	B2_Mm2	SINE	B2	-18	177	1	7
3268613	1634	1241	111	6	0	chr4	137585322	137585502	-18922614	+	B2_Mm2	SINE	B2	1	181	-14	2
1928301	684	1164	103	80	0	chr17	12997311	12997486	-81989785	-	B2_Mm2	SINE	B2	-6	189	1	1
813944	1325	1406	80	43	0	chr11	97028840	97029027	-25053516	+	B2_Mm2	SINE	B2	1	195	0	7
4572183	1151	815	113	19	2	chr9	74222347	74222492	-50372618	+	B2_Mm2	SINE	B2	1	155	-61	4
1770182	751	263	73	73	0	chr16	21764778	21764819	-76442949	-	B2_Mm2	SINE	B2	-151	44	1	1
1425709	1062	690	218	18	28	chr14	62593810	62593974	-62308270	-	B2_Mm2	SINE	B2	-15	201	35	1
137934	1186	1315	83	50	6	chr1	78786417	78786599	-116685372	-	B2_Mm2	SINE	B2	-4	191	2	1
2157020	878	753	168	10	96	chr18	38488596	38488794	-52213845	+	B2_Mm2	SINE	B2	1	181	-14	1
3675996	853	942	131	51	45	chr6	35190430	35190606	-114545940	-	B2_Mm2	SINE	B2	-18	177	1	3
2303471	798	862	135	50	0	chr19	27957372	27957513	-33474053	+	B2_Mm2	SINE	B2	13	160	-35	2
4403343	1479	374	110	14	8	chr8	117289746	117289856	-12111357	-	B2_Mm2	SINE	B2	0	195	47	3
2836862	1124	737	104	16	16	chr3	70764804	70764820	-89274860	+	B2_Mm2	SINE	B2	162	175	-20	2
4330514	1224	999	62	198	42	chr8	83880069	83880124	-45521089	-	B2_Mm2	SINE	B2	-143	52	2	3
441503	923	912	202	21	11	chr10	44418135	44418325	-86276668	+	B2_Mm2	SINE	B2	3	194	-1	3
4522663	994	1320	81	40	0	chr9	53696768	53696942	-70898168	+	B2_Mm2	SINE	B2	1	181	-14	4
1974952	858	1070	137	34	17	chr17	35875877	35876055	-59111216	-	B2_Mm2	SINE	B2	-14	181	1	1
4221789	780	1238	106	6	16	chr8	25567785	25567967	-103833246	-	B2_Mm2	SINE	B2	-14	181	2	3
335766	1957	472	78	25	49	chr1	179953859	179953940	-15518031	-	B2_Mm2	SINE	B2	-116	79	1	2
1084994	1435	307	115	0	16	chr12	111482181	111482243	-8646779	+	B2_Mm2	SINE	B2	135	195	0	9
2957084	1596	1195	91	63	0	chr3	132537345	132537520	-27502160	-	B2_Mm2	SINE	B2	-5	190	5	2
3565297	1600	1219	64	6	12	chr5	133061997	133062156	-18772528	-	B2_Mm2	SINE	B2	-37	158	1	3
1954383	796	280	101	355	27	chr17	27742076	27742186	-67245085	-	B2_Mm2	SINE	B2	-3	192	47	1
478913	1069	339	109	0	18	chr10	63498456	63498512	-67196481	-	B2_Mm2	SINE	B2	-94	101	47	4
2121385	741	1142	144	11	6	chr18	20563512	20563693	-70138946	+	B2_Mm2	SINE	B2	2	183	-12	1
